CustomerID,Gender,Age,Tenure,Contract,MonthlyCharges,TotalCharges,PaymentMethod,JoinDate,LastInteraction,Churn,InternetService,OnlineSecurity,TechSupport,DeviceProtection,StreamingTV,StreamingMovies,Region,IncomeGroup,FeedbackScore,ComplaintRaised
CUST8401,Female,57.0,66.0,Month-to-month,57.76,743.17,Credit Card,2019-07-15,2022-02-28,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,East,richhh,3,1
CUST6834,Male,19.0,33.0,Month-to-month,45.83,2232.5,Electronic Check,2016-12-09,2023-01-03,No,??,Yes,No,unknown,Yes,Yes,North,Medium,-1,Yes
CUST3122,Female,43.0,48.0,One year,40.53,2568.96,Bank Transfer,2015-01-06,2023-04-29,No,Fiber Optic,,maybe,Yes,No,Yes,East,richhh,-1,No
CUST9788,Male,36.0,54.0,One year,51.0,3507.02,Credit Card,2020-10-31,2022-08-12,No,Fiber Optic,No,,Yes,No,Yes,West,richhh,10,1
,,,,,,,,,,,,,,,,,,,,
CUST3531,Female,32.0,37.0,Month-to-month,46.71,586.0,Mailed Check,2020-11-29,2022-09-16,No,Fiber Optic,Yes,No,unknown,Yes,No,North,Medium,3,1
CUST3995,Other,79.0,53.0,Two year,119.88,4119.43,Mailed Check,2017-03-04,2023-06-07,No,??,Yes,No,Yes,No,No,West,High,9,Yes
CUST8659,Female,59.0,58.0,Month-to-month,64.57,7607.32,Mailed Check,2020-09-21,2023-06-04,No,DSL,No,Yes,Yes,?,Yes,West,High,9,1
CUST9224,Other,65.0,71.0,Two year,87.16,1579.06,Credit Card,2016-05-12,2023-10-23,No,DSL,Yes,maybe,unknown,Yes,corrupt,N/A,Low,9,0
CUST5448,Male,45.0,51.0,Two year,111.73,1323.4,Mailed Check,2017-03-23,2022-10-13,No,DSL,,Yes,unknown,No,No,West,richhh,2,1
CUST4620,Other,37.0,61.0,One year,116.92,7158.41,Bank Transfer,2016-02-20,2022-11-27,No,Fiber Optic,N/A,Yes,No,Yes,Yes,North,richhh,6,0
CUST10210,Other,53.0,34.0,Month-to-month,116.44,3617.46,Bank Transfer,2018-09-07,2023-09-27,Yes,??,Yes,No,Yes,?,corrupt,N/A,Medium,5,1
CUST6022,Female,64.0,25.0,Two year,104.84,4848.57,Credit Card,2020-12-22,2023-03-13,No,??,Yes,,No,No,Yes,East,Low,99,1
CUST8923,Female,69.0,59.0,Two year,63.74,7234.35,Credit Card,2017-03-10,2022-06-04,No,DSL,,maybe,No,No,No,South,Medium,2,0
CUST5475,Other,26.0,9.0,Two year,25.0,5004.78,Bank Transfer,2019-09-04,2023-07-25,No,Satellite,,No,unknown,?,corrupt,South,richhh,3,Yes
CUST7708,Other,62.0,32.0,Two year,104.3,2972.66,Electronic Check,2018-10-28,2023-02-28,No,None,No,Yes,Yes,Yes,Yes,East,richhh,good,1
,,,,,,,,,,,,,,,,,,,,
CUST4319,Other,33.0,56.0,Month-to-month,83.59,658.8,Electronic Check,2016-03-28,2023-06-06,No,None,,Yes,unknown,?,corrupt,South,High,10,Yes
CUST6657,Male,67.0,59.0,One year,101.46,5241.84,Mailed Check,2017-10-20,2022-04-13,No,DSL,,maybe,No,No,Yes,N/A,50000,2,Yes
CUST9790,Female,65.0,15.0,Month-to-month,119.56,7895.21,Credit Card,2016-03-27,2022-08-23,Yes,DSL,N/A,No,unknown,?,corrupt,North,Low,-1,Yes
,,,,,,,,,,,,,,,,,,,,
CUST7282,Other,35.0,5.0,Month-to-month,23.07,6924.67,Electronic Check,2016-11-06,2022-09-25,No,Fiber Optic,N/A,No,Yes,?,corrupt,N/A,richhh,good,Yes
CUST3516,Female,73.0,37.0,One year,90.05,7948.85,Bank Transfer,2019-02-07,2023-03-23,No,??,N/A,Yes,unknown,?,corrupt,East,50000,-1,No
CUST1500,Female,53.0,65.0,Month-to-month,106.22,7663.82,Mailed Check,2019-12-06,2023-12-19,Yes,DSL,N/A,,unknown,?,Yes,North,50000,2,0
CUST9793,Male,39.0,14.0,One year,70.25,3301.47,Bank Transfer,2021-06-01,2022-11-10,No,Satellite,N/A,,Yes,Yes,No,N/A,Medium,6,1
CUST2921,Male,42.0,66.0,Month-to-month,115.7,1490.44,Electronic Check,2021-01-04,2023-02-11,No,None,,No,No,?,Yes,N/A,Medium,10,1
